iter	RMSE
0	15.53392126
50	7.854788966
100	6.68639645
150	6.311424237
200	6.089962803
250	5.911739094
300	5.780751774
350	5.679864427
400	5.593454241
450	5.519713526
500	5.45107248
550	5.391485854
600	5.335065231
650	5.287280107
700	5.243911475
750	5.206256409
800	5.170398243
850	5.137390829
900	5.107690669
950	5.079597414
1000	5.054969478
1050	5.031218095
1100	5.010804308
1150	4.991434382
1200	4.97386488
1250	4.955733695
1300	4.938855824
1350	4.92196838
1400	4.905556621
1450	4.89129554
1500	4.878587896
1550	4.86561502
1600	4.852748918
1650	4.842041309
1700	4.83148411
1750	4.821518763
1800	4.811865523
1850	4.802088251
1900	4.793015468
1950	4.783489723
2000	4.775262689
2050	4.766511938
2100	4.758500987
2150	4.750464361
2200	4.743456208
2250	4.736543126
2300	4.729836392
2350	4.723505349
2400	4.716774433
2450	4.710131647
2500	4.704226347
2550	4.697768541
2600	4.692474529
2650	4.687382198
2700	4.68258679
2750	4.677046218
2800	4.672238553
2850	4.667696808
2900	4.663009524
2950	4.658899362
3000	4.654637676
3050	4.650511331
3100	4.646108408
3150	4.642099474
3200	4.637845351
3250	4.633648523
3300	4.629726397
3350	4.625990817
3400	4.622427012
3450	4.61877933
3500	4.615434726
3550	4.611912768
3600	4.608505927
3650	4.605209411
3700	4.602033452
3750	4.599257118
3800	4.596498232
3850	4.593712326
3900	4.590770938
3950	4.587758087
4000	4.584958116
4050	4.582203374
4100	4.579119226
4150	4.576599098
4200	4.573995043
4250	4.571457929
4300	4.568925062
4350	4.566357037
4400	4.563957888
4450	4.561426925
4500	4.559096651
4550	4.556649391
4600	4.55425684
4650	4.551916532
4700	4.549539049
4750	4.547602484
4800	4.545430682
4850	4.543124452
4900	4.541019601
4950	4.538996102
5000	4.537058068
5050	4.535133058
5100	4.532922145
5150	4.531163562
5200	4.529131657
5250	4.527115236
5300	4.525231033
5350	4.523323701
5400	4.521297265
5450	4.519336185
5500	4.51752153
5550	4.515557233
5600	4.513701583
5650	4.511792727
5700	4.510063825
5750	4.508366285
5800	4.506509737
5850	4.504748904
5900	4.503179552
5950	4.501583232
6000	4.49996568
6050	4.498475887
6100	4.497069515
6150	4.495485622
6200	4.493878343
6250	4.492161974
6300	4.490644472
6350	4.489044385
6400	4.487569009
6450	4.486071541
6500	4.48435445
6550	4.482859742
6600	4.481368279
6650	4.480004196
6700	4.478508608
6750	4.477047521
6800	4.475665059
6850	4.474123192
6900	4.472840648
6950	4.471443581
7000	4.470052321
7050	4.468714918
7100	4.467315089
7150	4.465986321
7200	4.464524044
7250	4.463156097
7300	4.461769238
7350	4.460373609
7400	4.459094703
7450	4.457715109
7500	4.456395729
7550	4.455150211
7600	4.453871217
7650	4.452591964
7700	4.451251051
7750	4.450130812
7800	4.448917633
7850	4.447750628
7900	4.446530111
7950	4.445248967
8000	4.443924014
8050	4.442639473
8100	4.441415863
8150	4.4401892
