iter	Passed	Remaining
0	2446	122306537
1	4375	109373756
2	6250	104173834
3	7997	99966159
4	9839	98389902
5	11344	94530027
6	12690	90633075
7	14407	90032449
8	16119	89534276
9	17415	87057845
10	19081	86714247
11	20662	86071211
12	22143	85144636
13	23839	85117392
14	25322	84382364
15	26597	83090008
16	28233	83011487
17	30206	83876243
18	31904	83927926
19	33398	83462410
20	35263	83925759
21	37062	84195033
22	38682	84053572
23	40242	83799185
24	41869	83696945
25	43349	83320554
26	44815	82946227
27	46380	82775939
28	47666	82136622
29	49083	81756211
30	50290	81063157
31	51765	80832256
32	53065	80349903
33	54552	80169826
34	56149	80158091
35	57537	79855198
36	59396	80206179
37	60837	79989141
38	62216	79702311
39	63372	79152758
40	64741	78888895
41	66279	78838356
42	67641	78584733
43	69079	78430580
44	70446	78203439
45	71861	78037946
46	73540	78160719
47	75075	78128346
48	76368	77850749
49	77576	77498789
50	78936	77309460
51	80335	77165410
52	82074	77346809
53	83368	77109412
54	84809	77015089
55	86263	76935060
56	87966	77075328
57	89701	77239448
58	91331	77308167
59	93015	77420283
60	94534	77393035
61	96181	77469739
62	98097	77757298
63	99846	77905366
64	101454	77940827
65	102989	77919690
66	104527	77901027
67	105874	77742865
68	107372	77699085
69	108491	77385681
70	109595	77070319
71	110681	76751244
72	111954	76569457
73	113395	76505103
74	114665	76328772
75	116376	76447302
76	117732	76332249
77	119286	76346185
78	120859	76372804
79	122154	76224273
80	123551	76142811
81	124807	75977075
82	126624	76153355
83	128096	76119548
84	129796	76220877
85	131701	76438782
86	132998	76302857
87	134324	76186246
88	136019	76279263
89	137573	76292375
90	139187	76337420
91	140914	76443200
92	142085	76248197
93	143636	76258918
94	145237	76295514
95	146587	76200906
96	147735	76004350
97	149168	75957145
98	151134	76179518
99	152678	76186339
100	154691	76425237
101	156789	76700920
102	159037	77043763
103	161170	77324447
104	162409	77175285
105	164203	77290406
106	165973	77391584
107	167942	77583123
108	169927	77778487
109	171470	77769688
110	172872	77697414
111	174575	77761057
112	176303	77834179
113	178319	78032121
114	179845	78013732
115	181875	78212701
116	183836	78378567
117	185731	78513982
118	187433	78565946
119	188979	78552379
120	190180	78396792
121	192094	78535047
122	193835	78601032
123	195632	78688269
124	197536	78817146
125	199515	78973148
126	201487	79124378
127	203581	79320277
128	205354	79389574
129	207393	79559183
130	209447	79732270
131	211451	79883960
132	213335	79987890
133	215362	80143842
134	217395	80299326
135	219764	80575985
136	221826	80736853
137	223644	80806822
138	226021	81076511
139	227991	81197492
140	230204	81402465
141	232279	81556119
142	234290	81685589
143	235896	81672640
144	237622	81701017
145	239450	81764027
146	241532	81912392
147	243680	82080951
148	245830	82247727
