iter	MAE	RMSE
0	13.09036602	15.80705187
1	12.95935507	15.66260763
2	12.83029799	15.52065459
3	12.70286317	15.37883153
4	12.57764303	15.2394376
5	12.45468732	15.10217233
6	12.33378689	14.96758583
7	12.21486904	14.83527372
8	12.09830784	14.70506122
9	11.98400839	14.57732632
10	11.87174359	14.45140209
11	11.76106145	14.32786286
12	11.65225046	14.20646866
13	11.54557553	14.08746087
14	11.44040686	13.97006994
15	11.33714143	13.85471825
16	11.23593825	13.741724
17	11.136341	13.63102704
18	11.03900415	13.52227983
19	10.94277248	13.41493154
20	10.84750521	13.30951864
21	10.75478105	13.20654815
22	10.66339781	13.10483962
23	10.57424319	13.00554496
24	10.48582432	12.90746978
25	10.399804	12.81170275
26	10.31596043	12.7174785
27	10.23305208	12.62514821
28	10.15137558	12.5341706
29	10.07216211	12.44533297
30	9.993761094	12.35754975
31	9.91732193	12.27170987
32	9.841737177	12.18728479
33	9.768151576	12.10479287
34	9.695646412	12.0238565
35	9.623393294	11.94368255
36	9.554308673	11.86540447
37	9.48671168	11.78887452
38	9.419298721	11.71260844
39	9.352717997	11.63754719
40	9.287959924	11.5642208
41	9.22565955	11.49317362
42	9.164317937	11.42342082
43	9.103966028	11.35481374
44	9.043637092	11.28715103
45	8.98380372	11.22002691
46	8.925220243	11.15473368
47	8.869075762	11.0904772
48	8.814229578	11.0279359
49	8.761385952	10.96633112
50	8.708345654	10.90625619
51	8.656251372	10.84706098
52	8.606454896	10.78923168
53	8.557583484	10.73301834
54	8.508834657	10.67710871
55	8.452883565	10.613476
56	8.397145593	10.55005169
57	8.341410285	10.48728541
58	8.287089946	10.42574064
59	8.233910848	10.3650961
60	8.182405086	10.30611511
61	8.132754003	10.24841634
62	8.084172775	10.19202382
63	8.036464932	10.13661404
64	7.989592595	10.08228799
65	7.943307037	10.0288948
66	7.897795041	9.976699949
67	7.853897805	9.92571125
68	7.811016882	9.875727641
69	7.769415692	9.826628814
70	7.728271674	9.778327266
71	7.68776403	9.731048203
72	7.647633356	9.684288487
73	7.609114328	9.638982695
74	7.570509999	9.5941685
75	7.533056631	9.55040271
76	7.496691139	9.507734394
77	7.461378456	9.465852651
78	7.425990188	9.423918529
79	7.391455348	9.382912997
80	7.35861929	9.343609107
81	7.326046602	9.304854921
82	7.295220716	9.267622926
83	7.263539802	9.230115392
84	7.232732953	9.193448475
85	7.202849334	9.157627085
86	7.173761815	9.122749868
87	7.14560332	9.088389061
88	7.117767958	9.054840562
89	7.090667609	9.021321724
90	7.063621134	8.988998883
91	7.037139525	8.957301721
92	7.012510073	8.926694653
93	6.987243895	8.895678358
94	6.962361339	8.865927129
95	6.938316506	8.836219023
96	6.914679754	8.807891947
97	6.890386708	8.77793259
98	6.867020988	8.749840966
99	6.846056449	8.723373807
100	6.823580322	8.695939396
101	6.802482653	8.670328841
102	6.780831381	8.644267259
103	6.759764237	8.618477161
104	6.738638611	8.592492359
105	6.718982318	8.568079831
106	6.698691964	8.542930596
107	6.678504764	8.51803391
108	6.660744957	8.495607453
109	6.642271105	8.473310968
110	6.623972827	8.450509841
111	6.606132859	8.428217783
112	6.588584227	8.40727846
