iter	Passed	Remaining
0	2945	58914055
1	4184	41845720
2	5318	35449311
3	6989	34942322
4	8459	33827607
5	9670	32224290
6	10809	30874825
7	11764	29398840
8	12716	28245097
9	13694	27375413
10	14808	26909349
11	16022	26688100
12	16843	25895680
13	17637	25178912
14	18480	24622328
15	19621	24507028
16	20607	24223203
17	22096	24529634
18	23526	24741159
19	24903	24878890
20	26010	24745421
21	26968	24489566
22	28406	24673287
23	29365	24442028
24	30807	24615356
25	32281	24799402
26	33375	24689007
27	34585	24669195
28	35821	24668565
29	36903	24565109
30	37968	24457837
31	39054	24370317
32	39925	24157213
33	40935	24038856
34	41671	23770828
35	42870	23774337
36	44129	23809861
37	45184	23736337
38	46427	23762492
39	47591	23748214
40	48657	23686628
41	49757	23644383
42	51116	23723885
43	52339	23738120
44	53655	23793335
45	54505	23643482
46	55582	23596545
47	56268	23389003
48	57160	23273660
49	58531	23353903
50	59561	23297714
51	60897	23361057
52	62123	23380877
53	63325	23390440
54	64399	23353513
55	66031	23516530
56	67449	23599201
57	68749	23638010
58	70087	23688321
59	71095	23627383
60	72381	23659168
61	73695	23699195
62	74977	23727434
63	76386	23794327
64	77660	23817781
65	79095	23889295
66	80095	23828991
67	81370	23851168
68	82145	23728282
69	83512	23777156
70	85186	23911089
71	86829	24032552
72	87952	24008590
73	88942	23949532
74	90180	23958039
75	91427	23968444
76	92605	23960745
77	93759	23947019
78	95031	23963601
79	95846	23865775
80	96964	23844974
81	98095	23827608
82	99265	23820136
83	100419	23808872
84	101622	23809500
85	102789	23801784
86	103953	23793321
87	105050	23770058
88	106284	23777866
89	107262	23728897
90	108331	23700854
91	109367	23666146
92	110274	23604628
93	111446	23600679
94	112580	23588567
95	113530	23538751
96	114379	23468990
97	115475	23450926
98	116707	23460656
99	117853	23452929
100	119012	23447850
101	120422	23491802
102	121473	23465653
103	122919	23515529
104	124154	23524392
105	125271	23510936
106	126348	23490180
107	127343	23454748
108	128106	23377591
109	129149	23352554
110	130272	23342267
111	131173	23292698
112	132096	23247856
113	132840	23172532
114	133615	23103788
115	134805	23107513
116	136240	23152783
117	137555	23176951
118	138707	23173401
119	139869	23171728
120	141267	23208659
121	142434	23207405
122	143670	23217339
123	144588	23176202
124	145626	23154595
125	146535	23113034
126	147375	23061388
127	148498	23054373
128	149359	23007184
129	150562	23012892
130	151704	23009252
131	152839	23004616
132	154175	23030086
133	155369	23034112
134	156293	22998357
135	157242	22966648
136	158745	23015811
137	159439	22947785
138	160579	22944439
139	161627	22928018
140	163046	22964143
141	163753	22900070
142	164786	22882334
143	165546	22827004
144	166854	22847543
